Variable_ID,Description
fr04b,"FRAU, ZU HAUSE KINDER VERSORGEN?(B)"
fr05b,"FRAU, BERUFSTAETIG BESSERE MUTTER?(B)"
fr09,VOLL ARBEITENDER MANN SCHLECHTERER VATER
fr10,BEIDE ELTERN ARBEITEN ABER HAUSHALT FRAU
fr11,ERWERBSTAETIGER MANN AUCH GUTER VATER
fr12,AUCH MANN KANN HAUSHALT+KIND UEBERNEHMEN
fh01,GEMEINS.HH.: WER BEREITET MAHLZEITEN ZU?
fh02,GEMEINS.HH.: WER KAUFT LEBENSMITTEL EIN
fh03,GEMEINS.HAUSH.: WER MACHT REPARATUREN?
fh04,GEMEINS.HAUSH.: WER WAESCHT DIE WAESCHE?
fh05,GEM.HH.:WER ERLEDIGT VERSICHERUNGSSACHEN
fh06,GEMEINS.HAUSH.:WER SPUELT NACH DEM ESSEN
fh07,GEMEINS.HAUSHALT: WER PUTZT DIE WOHNUNG?
fh08,GEMEINS.HAUSHALT: KONTAKTE ZU BEHOERDEN?
fh09,GEMEINS.HH.: WER SPIELT MIT DEN KINDERN?
fh10,GEMEINS.HH.: WER BRINGT KINDER ZU BETT?
fh11,GEMEINS.HH.: M. KINDERN HAUSAUFG. MACHEN
fe01,ERZIEHUNGSZIEL: SELBSTAENDIGKEIT
fe02,ERZIEHUNGSZIEL: SELBSTVERTRAUEN
fe03,ERZIEHUNGSZIEL: GUTE UMGANGSFORMEN
fe04,ERZIEHUNGSZIEL: DURCHSETZUNGSFAEHIGKEIT
fe05,ERZIEHUNGSZIEL: GUTE SCHULLEISTUNGEN
fe06,ERZIEHUNGSZIEL: VERANTWORTUNGSBEW.
fe07,ERZIEHUNGSZIEL: KRITIKFAEHIGKEIT
fe08,ERZIEHUNGSZIEL: VERSTAENDNIS F.ANDERE
fe09,ERZIEHUNGSZIEL: FLEISS
fe10,ERZIEHUNGSZIEL DER SCHULE: 1.NENNUNG
fe11,ERZIEHUNGSZIEL DER SCHULE: 2.NENNUNG
fe12,ERZIEHUNGSZIEL DER SCHULE: 3.NENNUNG
fe13,KIND: LERNZIEL GEHORCHEN
fe14,KIND: LERNZIEL BELIEBT SEIN
fe15,KIND: LERNZIEL SELBSTAENDIG DENKEN
fe16,KIND: LERNZIEL HART ARBEITEN
fe17,KIND: LERNZIEL ANDEREN HELFEN
fe18,"GUTE UMGANGSFORMEN, GEWUEN.KINDEIGENSCH."
fe19,"LEISTUNGSFAEHIGK.,GEWUENSCHT.KINDEIGENS."
fe20,"EHRLICHKEIT,GEWUENSCHTE KINDEIGENSCHAFT"
fe21,"SAUBERKEIT U.ORDNUNG,GEW.KINDEIGENSCHAFT"
fe22,"MENSCHENVERST.+URTEILSGABE, GEW.KINDEIG."
fe23,"SELBSTBEHERRSCHUNG,GEW. KINDEIGENSCHAFT"
fe24,"GESCHLECHTSROLLE,GEWUENSCH.KINDEIGENSCH."
fe25,"VERTRAEGLICHK.M.AND.KIND.,GEW.KINDEIGEN."
fe26,"GEHORSAM DEN ELTERN,GEW.KINDEIGENSCHAFT"
fe27,"VERANTWORTUNGSBEW.,GEWUENSCHTE KINDEIG."
fe28,"RUECKSICHT GEG.ANDERE, GEW.KINDEIGENSCH."
fe29,"INTERESSE AN D.DINGEN,GEWUEN.KINDEIGENS."
fe30,"GUTER SCHUELER,GEWUENSCHTE KINDEIGENSCH."
lp01,DANKBAR SEIN FUER FUEHRENDE KOEPFE
lp02,ANPASSUNG ALS KIND SPAETER NUETZLICH
li01,WICHTIGKEIT: EIGENE FAMILIE UND KINDER
li02,WICHTIGKEIT: BERUF UND ARBEIT
li03,WICHTIGKEIT: FREIZEIT UND ERHOLUNG
li04,WICHTIGKEIT: FREUNDE UND BEKANNTE
li05,WICHTIGKEIT: VERWANDTSCHAFT
li06,WICHTIGKEIT: RELIGION UND KIRCHE
li07,WICHTIGKEIT: POLITIK UND OEFFENTL. LEBEN
li08,WICHTIGKEIT: NACHBARSCHAFT
ja01,WICHTIGKEIT: SICHERE BERUFSTELLUNG
ja02,WICHTIGKEIT: BERUF MIT HOHEM EINKOMMEN
ja03,WICHTIGK.:GUTE AUFSTIEGSCHANCEN IM BERUF
ja04,WICHTIGKEIT: ANERKANNTER BERUF
ja05,WICHTIGKEIT: BERUF MIT VIEL FREIZEIT
ja06,WICHTIGKEIT: INTERESSANTE TAETIGKEIT
ja07,WICHTIGKEIT: SELBSTAENDIGE TAETIGKEIT
ja08,WICHTIGK.: VERANTWORTUNGSVOLLE TAETIGK.
ja09,WICHTIGK.: BERUF M.VIEL MENSCHL. KONTAKT
ja10,WICHTIGKEIT: CARITATIV HELFENDER BERUF
ja11,WICHTIGKEIT: SOZIAL NUETZLICHER BERUF
ja12,WICHTIGKEIT: SINNVOLL EMPFUNDENER BERUF
ja13,"WICHTIGK.: SICHERE, GESUNDE ARBEITSBED."
la01,FREIZEIT: BUECHER LESEN
la02,FREIZEIT: ZEITSCHRIFTEN LESEN
la03,"FREIZEIT: LP, CD, CASSETTEN HOEREN"
la04,"FREIZEIT: VIDEOKASSETTEN, DVD ANSCHAUEN"
la05,FREIZEIT: MIT DEM COMPUTER BESCHAEFTIGEN
la06,"FREIZEIT: INTERNET,ONLINE-DIENSTE NUTZEN"
la07,FREIZEIT: SICH PRIVAT WEITERBILDEN
la08,"FREIZEIT: EINFACH NICHTS TUN, FAULENZEN"
la09,"FREIZEIT: SPAZIERENGEHEN, WANDERN"
la10,"FREIZEIT: YOGA,MEDITATION,AUTOG.TRAINING"
la11,FREIZEIT: ESSEN ODER TRINKEN GEHEN
la12,"FREIZEIT: BESUCH NACHBARN, FREUNDE, BEK."
la13,"FREIZEIT: BESUCH FAMILIE, VERWANDTSCHAFT"
la14,FREIZEIT: GESELLSCHAFTSSPIELE IN FAMILIE
la15,FREIZEIT: AUSFLUEGE ODER KURZE REISEN
la16,FREIZEIT: BETEILIGUNG IN POLITIK
la17,FREIZEIT: EHRENAMTLICHE TAETIGKEITEN
la18,FREIZEIT: KIRCHGANG
la19,"FREIZEIT: KUNST, MUSISCHE TAETIGKEITEN"
la20,"FREIZEIT: BASTELN, REPARATUREN"
la21,FREIZEIT: AKTIVE SPORTLICHE BETAETIGUNG
la22,FREIZEIT: BESUCH V. SPORTVERANSTALTUNGEN
la23,"FREIZEIT: KINO, POP+JAZZKONZERTE, TANZEN"
la24,"FREIZEIT: KLASS. KONZERTE, THEATER ETC."
la25,FREIZEIT: MUSIK HOEREN
la26,FREIZEIT: DAS INTERNET NUTZEN
la27,"FREIZEIT: CHATTEN, SOZIALE NETZWERKE"
la28,FREIZEIT: AM COMPUTER SPIELEN
la29,FREIZEIT: MUSIK MACHEN
la30,FREIZEIT: ANDERE KUENSTLER. TAETIGKEITEN
la31,"FREIZEIT: BESUCH MUSEEN, AUSSTELLUNGEN"
lm01,HAEUFIGKEIT VON FERNSEHEN PRO WOCHE
lm02,FERNSEHGESAMTDAUER PRO TAG IN MINUTEN
lm04,"FERNSEHINTERESSE: SHOWS, QUIZ"
lm05,FERNSEHINTERESSE: SPORTSENDUNGEN
lm06,FERNSEHINTERESSE: SPIELFILME
lm07,FERNSEHINTERESSE: NACHRICHTEN
lm08,FERNSEHINTERESSE: POLITISCHE MAGAZINE
lm09,FERNSEHINTERESSE: KUNST UND KULTUR
lm10,FERNSEHINTERESSE: HEIMATFILME
lm11,FERNSEHINTERESSE: KRIMIS
lm12,FERNSEHINTERESSE: ACTIONFILME
lm13,FERNSEHINTERESSE: UNTERHALTUNGSSERIEN
lm14,HAEUFIGKEIT TAGESZEITUNG LESEN PRO WOCHE
lm15,MUSIK: VOLKSMUSIK HOEREN
lm16,MUSIK: DEUTSCHE SCHLAGERMUSIK HOEREN
lm17,MUSIK: KLASSISCHE MUSIK HOEREN
lm18,MUSIK: JAZZ HOEREN
lm19,NACHRICHTENKONSUM: OEFFENTLICHES TV
lm20,KONSUMHAEUFIGK.: NACHRICHTEN OEFF. TV
lm21,NACHRICHTENKONSUM: PRIVATES TV
lm22,KONSUMHAEUFIGK.: NACHRICHTEN PRIVATES TV
lm23,INTERNET FUER INFORMATION UEBER POLITIK?
lm24,HAEUFIGKEIT: INTERNET FUER POLITIKINFO
lm27,INTERNETNUTZUNG MIT: PC
lm28,INTERNETNUTZUNG MIT: LAPTOP
lm29,INTERNETNUTZUNG MIT: TABLET
lm30,INTERNETNUTZUNG MIT: SMARTPHONE
lm31,INTERNETNUTZUNG MIT: FERNSEHER
lm32,INTERNETNUTZUNG MIT: SPIELEKONSOLE
lm33,INTERNETNUTZUNG MIT: E-BOOK-READER
lm34,INTERNETNUTZUNG MIT: ANDERE GERAETE
lm40,BESITZEN SIE EIN MOBILTELEFON?
ls01,ALLGEMEINE LEBENSZUFRIEDENHEIT
hs01,GESUNDHEITSZUSTAND BEFR.
hs02,GESUNDHEITL. PROBLEME: TREPPENSTEIGEN
hs03,GESUNDHEITL. PROBLEME: ALLTAGSTAETIGKEIT
hs04,"LETZTE 4 WOCHEN: HETZE, UNTER ZEITDRUCK"
hs05,LETZTE 4 WOCHEN: NIEDERGESCHLAGEN
hs06,"LETZTE 4 WOCHEN: RUHIG, AUSGEGLICHEN"
hs07,LETZTE 4 WOCHEN: JEDE MENGE ENERGIE
hs08,LETZTE 4 WOCHEN: KOERPERLICHE SCHMERZEN
hs09,LETZTE 4 WOCHEN: EINSAM
hs10,LETZTE 4 W.: WENIG GESCHAFFT WG. KOERPER
hs11,LETZTE 4 W.: EINGESCHRAENKT WG. KOERPER
hs12,LETZTE 4 W.: WENIG GESCHAFFT WG. SEELE
hs13,LETZTE 4 W.: EINGESCHRAENKT WG. SEELE
hs14,LETZTE 4 WOCHEN: KONTAKTE EINGESCHRAENKT
hs15a,BEFR. SCHWERBEHINDERT?
hs15b,BEHINDERUNGSGRAD BEFR.
hs16,"KOERPERGROESSE IN CM, BEFRAGTE(R)"
hs17,"GEWICHT IN KG, BEFRAGTE(R)"
hs18,BODY-MASS-INDEX
hd01,BEFR.: ALLERGIE
hd02,BEFR.: MIGRAENE
hd03,"BEFR.: BLUTHOCHDRUCK,HYPERTONIE"
hd04,BEFR.: DURCHBLUTUNGSTOERUNG AM HERZEN
hd05,"BEFR.: RHEUMA, ARTHRITIS, GICHT"
hd06,BEFR.: WIRBELSAEULENSCHAEDEN
hd07,BEFR.: CHRONISCHE BRONCHITIS
hd08,BEFR.: ASTHMA
hd09,"BEFR.: HEPATITIS, LEBERZIRRHOSE"
hd10,"BEFR.: ZUCKERKRANKHEIT, DIABETES"
hd11,BEFR.: KREBS
hd12,BEFR.: OSTEOPOROSE
hd13,BEFR.: SONSTIGE KRANKHEITEN
hd14,"BEFR.: SONSTIGE KRANKHEITEN, 1. NENNUNG"
hd15,"BEFR.: SONSTIGE KRANKHEITEN, 2. NENNUNG"
hd16,BEFR.: LETZTE 4 WOCHEN KRANK GEWESEN?
ht01,ARZTBESUCH L. 3 MONATE: AKUT KRANK
ht02,ARZTBESUCH L. 3 MONATE: CHRONISCH KRANK
ht03,ARZTBESUCH: BEFINDLICHKEITSSTOERUNG
ht04,ARZTBESUCH L. 3 MONATE: BERATUNG
ht05,ARZTBESUCH L. 3 MONATE: NUR PRAXISBESUCH
ht06,"ARZTBESUCH L. 3 MONATE: VORSORGE,IMPFUNG"
ht07,ARZTBESUCH L. 3 MONATE: SONSTIGER GRUND
ht08,SONSTIGER GRUND FUER ARZTBESUCH
ht09,ARZTBESUCHE IN DEN LETZTEN 3 MONATEN
ht11,KRANKENHAUSAUFENTHALT LETZTE 12 MONATE
ht12,NAECHTE I.KRANKENHAUS LETZTE 12 MONATE
hb01,RAUCHEN SIE?
hb02,ANZAHL TABAKPRODUKTE PRO TAG
hb03,"KONSUMHAUEFIGKEIT:VOLLKORN-,MEHRKORNBROT"
hb04,"KONSUMHAUEFIGKEIT: WEISSBROT, TOASTBROT"
hb05,KONSUMHAUEFIGKEIT: OBST
hb06,"KONSUMHAUEFIGKEIT: GEMUESE(FRISCH,KUEHL)"
hb07,"KONSUMHAUEFIGKEIT: FLEISCH, WURST"
hb08,KONSUMHAUEFIGKEIT: FRITTIERTE SPEISEN
hb09,"KONSUMHAUEFIGKEIT: SUESSWAREN, GEBAECK"
hb10,KONSUMHAUEFIGKEIT: BIER ODER WEIN
hb11,KONSUMHAUEFIGKEIT: SPIRITUOSEN
hw01,"ARBEITSBED.: LAERM, SCHLECHTE LUFT"
hw02,"ARBEITSBED.: ZEIT-, LEISTUNGSDRUCK"
hw03,ARBEITSBED.: SCHLECHTES ARBEITSKLIMA
hw04,ARBEITSBED.: LANGE ARBEITSZEIT
hw05,ARBEITSBED.: SCHICHTARBEIT
hw06,ARBEITSBED.: SCHWERE KOERPERARBEIT
hw07,HAEUFIGKEIT UNGERECHTER KOLLEGENKRITIK
he01,ALLGEMEINE BELASTUNG: FLUGLAERM
he02,ALLG. BELASTUNG: BLEIGEHALT IM BENZIN
he03,ALLG. BELAST.: INDUST.ABFAELLE IM WASSER
he04,ALLGEMEINE BELASTUNG: KERNKRAFTWERKE
he05,ALLG. BELASTUNG: INDUSTRIEABGASE
he06,"ALLG. BELAST.: VERKEHRSLAERM, AUTOABGASE"
he07,PERSOENLICHE BELASTUNG: FLUGLAERM
he08,PERS.BELASTUNG: BLEIGEHALT IM BENZIN
he09,PERS.BELASTUNG: INDUST.ABFALL IM WASSER
he10,PERS.BELASTUNG: KERNKRAFTWERKE
he11,PERS.BELASTUNG: INDUSTRIEABGASE
he12,"PERS.BELASTUNG: VERKEHRSLAERM,AUTOABGASE"
ha01,HABEN SIE SCHON VON AIDS GEHOERT?
ha02,"VON AIDS GEHOERT IN: TV, RADIO, ZEITUNG"
ha03,AIDSINFIZIERTE: HOEHERE KASSENBEITRAEGE
ha04,AIDSINFIZIERTE: MOEGL. ENTLASSUNGSGRUND
ha05,AIDSINFIZIERTE: EINREISE VERWEIGERN
ha06,AIDSINFIZIERTE: NAMENTL. MELDEPFLICHT
ha07,"BESORGT, PERSOENLICHE ANSTECKUNGSGEFAHR"
ha08,SCHUTZMASSNAHMEN VOR AIDS ERGRIFFEN?
ha09,MASSNAHMEN: KEINE FLUECHT. SEX. KONTAKTE
ha10,MASSNAHMEN: AIDS-TEST V.PARTNER VERLANGT
ha11,MASSNAHMEN: PARTNERWAHL SORGFAELTIGER
ha12,MASSNAHMEN: LEBE SEXUELL ENTHALTSAMER
ha13,MASSNAHMEN: SEX MIT FREMDEN MIT KONDOM
ha14,MASSNAHMEN:ALLG.VORSICHTIGER BEI FREMDEN
ha15,MASSNAHMEN: HABE TEST MACHEN LASSEN
ha16,MASSNAHMEN: BEI VERDACHT KEIN KONTAKT
ha17,MASSNAHMEN: HABE WENIGER SEXUALPARTNER
ha18,"MASSNAHMEN: KEINE OEFF. BAEDER, SAUNEN"
ha19,MASSNAHMEN: SONST. MASSNAHMEN ERGRIFFEN?
ha20,MASSNAHMEN: AIDSSCHUTZMASSNAHMEN 1.NENN.
ha21,MASSNAHMEN: AIDSSCHUTZMASSNAHMEN 2.NENN.
ha22,BEKANNTSCHAFT MIT AIDS-INFIZIERTEN?
rd01,"KONFESSION, BEFRAGTE(R)"
rd02,CHRISTLICH-ORTHODOXE KONFESSION?
rd03,WELCHE NICHTCHRISTLICHE RELIGION?
rd04,FRUEHER KIRCHENMITGLIED?
rd05,FRUEHERE KONFESSION
rd06,FRUEHER CHRISTL.ORTHODOXE KONFESSION?
rd07,WELCHE NICHTCHRISTL. RELIGION FRUEHER?
rp01,KIRCHGANGSHAEUFIGKEIT
rp02,WIE OFT BESUCH GOTTESHAUS?
rp03,"KIRCHGANGSHAEUFIGKEIT, BEFR. ALS KIND"
ru01,ROLLE DER RELIG.ERZIEHUNG IM ELTERNHAUS
ru02,ROLLE RELIG. ERZIEHUNG EIGENE KINDER
rp04a,WIE OFT BETEN SIE? (11ER SKALA)
rp04b,BEFR.: WIE OFT BETEN SIE? (7ER SKALA)
rp05,"HAEUFIGKEIT VON KIRCHL.AKTIVITAETEN,BEFR"
rp06,"WIE OFT MEDITATION, INNERE EINKEHR?"
rp07,HAEUFIGKEIT V. KIRCHL. SENDUNGEN HOEREN?
rb01,GOTT BEFASST SICH PERSOENLICH M.MENSCHEN
rb02,"ES IST EIN GOTT, DER FUER UNS SEIN WILL"
rb03,GOTT IST NUR DAS WERTVOLLE IM MENSCHEN
rb04,LETZTL.BESTIMMEN NATURGESETZE DAS LEBEN
rb05,GOTT IST LEDIGL.IN DEN HERZEN D.MENSCHEN
rb06,LEBEN IST NUR TEIL D.NATURENTWICKLUNG
ra01,"LEBEN HAT NUR BEDEUTUNG, WEIL GOTT IST"
ra02,"LEBENSSINN, WEIL ES NACH TOD ETWAS GIBT"
ra03,DEM LEBEN KANN MAN NUR SELBST SINN GEBEN
ra04,SINN DES LEBENS: DAS BESTE DARAUS MACHEN
ra05,DAS LEBEN HAT FUER MICH WENIG SINN
ra06,LEBENSSINN: LEBEN DIENT ZU GAR NICHTS
rb07,"RELIGIOSITAETSSKALA, BEFRAGTE(R)"
rb14,"SPIRITUALITAETSSKALA, BEFRAGTE(R)"
rb08,GOTTESGLAUBEN
rb09,GLAUBEN AN: LEBEN NACH DEM TOD
rb10,GLAUBEN AN: HIMMEL
rb11,GLAUBEN AN: HOELLE
rb12,GLAUBEN AN: REINKARNATION
rb13,GLAUBEN AN: WUNDER
ra07,"EGAL, OB ES GOTT GIBT"
ra08,"EGAL, OB ES EINE HOEHERE MACHT GIBT"
ra09,FOLGE KEINER RELIGIOESEN LEHRE
ra10,ORIENTIERUNG AN RATIONAL FASSBAREM
ra11,NACHDENKEN UEBER GLAUBENSFRAGEN
ra12,NACHDENKEN UEBER SINN DES LEBENS
re01,ERFAHRUNG: NAEHE GOTTES DURCH GLAUBEN
re02,ERFAHRUNG: WIRKEN UEBERNATUERL. KRAEFTE
rh01a,"ERFAHRUNG: NEW AGE, WASSERMANN AERA"
rh02a,"ERFAHRUNG: ZEN-MEDITATION, WEISHEITEN"
rh03a,"ERFAHRUNG: ANTHROPOSOPHIE, THEOSOPHIE"
rh05a,ERFAHRUNG: MYSTIK
rh06a,"ERFAHRUNG: MAGIE,SPIRITISMUS,OKKULTISMUS"
rh07a,"ERFAHRUNG: PENDELN, WUENSCHELRUTEN"
rh08a,"ERFAHRUNG: ASTROLOGIE, HOROSKOPE"
rh09a,"ERFAHRUNG: TAROT-KARTEN, WAHRSAGEN"
rh10a,"ERFAHRUNG: WUNDERHEILER, GEISTHEILER"
rh13a,"ERFAHRUNG: HOMOEOPATHIE,BACHBLUETEN USW."
rh01b,"HALTE VON: NEW AGE, WASSERMANN AERA"
rh02b,"HALTE VON: ZEN-MEDITATION, WEISHEITEN"
rh03b,"HALTE VON: ANTHROPOSOPHIE, THEOSOPHIE"
rh05b,HALTE VON: MYSTIK
rh06b,"HALTE VON: MAGIE,SPIRITISMUS,OKKULTISMUS"
rh07b,"HALTE VON: PENDELN, WUENSCHELRUTEN"
rh08b,"HALTE VON: ASTROLOGIE, HOROSKOPE"
rh09b,"HALTE VON: TAROT-KARTEN, WAHRSAGEN"
rh10b,"HALTE VON: WUNDERHEILER, GEISTHEILER"
rh11b,"HALTE VON: YOGA, TAI CHI, QI GONG"
rh12b,"HALTE VON: AYURVEDA, REIKI, SHIATSU USW."
rh13b,"HALTE VON: HOMOEOPATHIE,BACHBLUETEN USW."
ra14,WELT WAERE FRIEDLICHER OHNE RELIGION
ra15,WISSENSCHAFT: MEHR SCHADEN ALS NUTZEN
ra16,WISSENSCHAFT WIRD NIE ALLES ERKLAEREN
ra17,RELIGION BRINGT MENSCHEN EINANDER NAEHER
ra18,MEHR RELIGIOESE MENSCHEN IN AEMTERN
ra19,WAHRHEIT NUR IN EINER RELIGION?
rr01,KIRCHLICHE BEERDIGUNG?
rr02,KIRCHLICH BZW. RELIGIOES GETRAUT?
rr03,HEUTE GGFS. NOCHMALS KIRCHL.TRAUUNG?
rr04,SIND DIE KINDER GETAUFT?
rr04a,"TAUFE, FALLS SIE KINDER HAETTEN?"
rs01,EINHEIRAT IN EIGENE FAMILIE: KATHOLIK
rs02,EINHEIRAT IN EIGENE FAMILIE: PROTESTANT
rs03,EINHEIRAT IN EIGENE FAMILIE: MUSLIM
rs04,EINHEIRAT IN EIGENE FAMILIE: JUDE
rs05,EINHEIRAT IN EIGENE FAMILIE: ATHEIST
va01,WICHTIGKEIT VON RUHE UND ORDNUNG
va02,WICHTIGKEIT VON BUERGEREINFLUSS
va03,WICHTIGKEIT DER INFLATIONSBEKAEMPFUNG
va04,WICHTIGKEIT V. FREIER MEINUNGSAEUSSERUNG
ingle,INGLEHART-INDEX
vi01,WICHTIG: GESETZ UND ORDNUNG RESPEKTIEREN
vi02,WICHTIG: HOHER LEBENSSTANDARD
vi03,WICHTIG: MACHT UND EINFLUSS
vi04,WICHTIG: PHANTASIE UND KREATIVITAET
vi05,WICHTIG: SICHERHEITSSTREBEN
vi06,WICHTIG: BENACHTEILIGTEN HELFEN
vi07,WICHTIG: DURCHSETZUNGSVERMOEGEN
vi08,WICHTIG: FLEISS UND EHRGEIZ
vi09,WICHTIG: TOLERANZ
vi10,WICHTIG: POLITISCHES ENGAGEMENT
vi11,WICHTIG: HEDONISMUS
vi12,WICHTIG: GOTTESGLAUBE
vi13,WICHTIG: LEISTUNG IM BERUF
vi14,WICHTIG: SELBSTVERWIRKLICHUNG
vm01,ABTREIB.- WENN WAHRSCH.BABY NICHT GESUND
vm02,"ABTREIB.- VERH.FRAU,KEINE KINDER MEHR"
vm03,ABTREIB.- BEI GESUNDHEITSGEFAEHRD.D.FRAU
vm04,ABTREIB.- BEI FINANZ.NOTLAGE DER FAMILIE
vm05,ABTREIBUNG- NACH VERGEWALTIGUNG
vm06,"ABTREIB.- LEDIGE MUTTER, OHNE EHEWUNSCH"
vm07,ABTREIBUNG - WENN DIE FRAU ES WILL
vm08,BIS WANN ABTREIB.: BABY ERNSTHAFT KRANK
vm09,BIS WANN ABTREIB.: KEIN WEITERES KIND
vm10,BIS WANN ABTREIB.: MUTTER GEFAEHRDET
vm11,BIS WANN ABTREIB.: KEIN GELD FUER KIND
vm12,BIS WANN ABTREIB.: WENN ALLEINERZIEHEND
vm13,BIS WANN ABTREIB.: GG. WILLEN D. VATERS
vm14,BIS WANN ABTREIB.: KEIN KINDERWUNSCH
vm15,BIS WANN ABTREIB.: UNABHAENGIG VON GRUND
sn01,ANZAHL GENANNTER NETZWERKPERSONEN
casex,FREUND(IN) A: GESCHLECHT
caage,FREUND(IN) A: ALTER
casn10,FREUND(IN) A: VERWANDTSCHAFT
cawork,FREUND(IN) A: BERUFSTAETIGKEIT?
cadw02,"FREUND(IN) A: BERUFL.STELLUNG,KENNZIFFER"
casn12,FREUND(IN) A: WAHLPRAEFERENZ
cagerman,FREUND(IN) A: DT. STAATSBUERGERSCHAFT?
cbsex,FREUND(IN) B: GESCHLECHT
cbage,FREUND(IN) B: ALTER
cbsn10,FREUND(IN) B: VERWANDTSCHAFT
cbwork,FREUND(IN) B: BERUFSTAETIGKEIT?
cbdw02,"FREUND(IN) B: BERUFL.STELLUNG,KENNZIFFER"
cbsn12,FREUND(IN) B: WAHLPRAEFERENZ
cbgerman,FREUND(IN) B: DT. STAATSBUERGERSCHAFT?
ccsex,FREUND(IN) C: GESCHLECHT
ccage,FREUND(IN) C: ALTER
ccsn10,FREUND(IN) C: VERWANDTSCHAFT
ccwork,FREUND(IN) C: BERUFSTAETIGKEIT?
ccdw02,"FREUND(IN) C: BERUFL.STELLUNG,KENNZIFFER"
ccsn12,FREUND(IN) C: WAHLPRAEFERENZ
ccgerman,FREUND(IN) C: DT. STAATSBUERGERSCHAFT?
sn19,KENNEN SICH A + B?
sn20,KENNEN SICH A + C?
sn21,KENNEN SICH B + C?
sm01,MITGLIED IN EINER GEWERKSCHAFT?
sm02,FRUEHER GEWERKSCHAFTSMITGLIED?
sm03,MITGLIED IN EINER POLITISCHEN PARTEI?
sm15,MITGLIED: DGB
sm16,MITGLIED: DAG
sm17,MITGLIED: ANDERE GEWERKSCHAFT
sm18,MITGLIED: CGB (CHRISTLICHE GEWERKSCHAFT)
sm19,MITGLIED: ULA (UNION LEITENDER ANGEST.)
sm20,MITGLIED: BAUERNVERBAND
sm21,MITGLIED: DBB
sm22,MITGLIED: GEWERBEVERBAND
sm23,"MITGLIED: UNTERNEHMERVERBAND, BDI"
sm24,MITGLIED: VERBAND DER FREIEN BERUFE
sm25,MITGLIED: SONSTIGER BERUFSVERBAND
sm03a,MITGLIED: POLITISCHE PARTEI
sm26,MITGLIED: IN WELCHER PARTEI?
sm27,MITGLIED: IN WELCHER 2.POLIT. PARTEI?
sm28,MITGLIED: KIRCHL. OD. RELIGIOES. VEREIN
sm29,MITGLIED: WELCHE RELIGIOESEN VEREINIG.?
sm30,MITGLIED: WELCHE 2.RELIGIOESEN VEREIN.?
sm31,MITGLIED: WELCHE 3.RELIGOESE VEREINIG.?
sm32,MITGLIED: GESANGVEREIN
sm33,MITGLIED: SPORTVEREIN
sm34,MITGLIED: SONST. HOBBYVEREIN
sm35,"MITGLIED: HEIMAT-, BUERGERVEREIN"
sm36,MITGLIED: SONSTIGER GESELLIGER VEREIN
sm37,MITGLIED: VERTRIEBENENVERBAND
sm38,MITGLIED: WOHLFAHRTSVERBAND
sm39,"MITGLIED: JUGEND-, STUDENT. VEREIN"
sm40,MITGLIED: BUERGERINITIATIVE
sm41,MITGLIED: ANDERE VEREINE
sm42,MITGLIED: WELCHER SONSTIGE VEREIN 1
sm43,MITGLIED: WELCHER SONSTIGE VEREIN 2
sm44,MITGLIED: WELCHER SONSTIGE VEREIN 3
sm04,MITGLIEDSSTATUS: KULTURVEREIN
sm05,MITGLIEDSSTATUS: SPORTVEREIN
sm06,MITGLIEDSSTATUS: SONST. HOBBYVEREIN
sm07,MITGLIEDSSTATUS: WOHLTAETIGKEITSVEREIN
sm08,MITGLIEDSSTATUS: MENSCHENRECHTSORGAN.
sm09,MITGLIEDSSTATUS: NATURSCHUTZORGANISATION
sm10,MITGLIEDSSTATUS: GESUNDHEITSVEREIN
sm11,MITGLIEDSSTATUS: ELTERNORGANISATION
sm12,MITGLIEDSSTATUS: SENIORENVEREIN
sm13,MITGLIEDSSTATUS: BUERGERINITIATIVE
sm14,MITGLIEDSSTATUS: ANDERE VEREINE
sm45,MITGLIED: INFORMELLE GRUPPE
si01,ZEITAUFWAND FUER VEREINSKOLLEGEN
si02,ZEITAUFWAND FUER ARBEITSKOLLEGEN
si03,ZEITAUFWAND FUER FREUNDE
st01,VERTRAUEN ZU MITMENSCHEN
lp03,LAGEVERSCHLECHTERUNG FUER EINFACHE LEUTE
lp04,BEI DIESER ZUKUNFT KEINE KINDER MEHR
lp05,POLITIKER UNINTERESSIERT AN EINF.LEUTEN
lp06,MEHRHEIT UNINTERESSIERT AN MITMENSCHEN
lp07,REVANCHE: ANDERE IN SCHWERE LAGE BRINGEN
lp08,FUER EMPFANGENE HILFE ANDEREN HELFEN
cf01,NACHTS ALLEINE ANGST IN ENGERER UMGEBUNG
cf02,NACHTS ALLEINE ANGST IN ANDERER GEGEND
ce01,BEFR.BESTOHLEN WORDEN IN DEN LETZTEN 3J.
ca01,VERHALTENSBEURT.: GEWALT BEI WIDERSPRUCH
ca02,VERHALTENSBEURTEIL: GEWALT GEGEN KINDER
ca03,VERHALTENSBEURT.:SCHWANGERSCHAFTSABBRUCH
ca04,VERHALTENSBEURTEIL: AERZTL. STERBEHILFE
ca05,VERHALTENSBEURTEIL: STEUERBETRUG
ca06,VERHALTENSBEURTEIL: SCHWARZFAHREN
ca07,VERHALTENSBEURTEIL: KAUFHAUSDIEBSTAHL
ca08,VERHALTENSBEURTEIL:VERGEWALTIGUNG IN EHE
