Section_Class,ID,Description,Heads_of_Families,Wives,Children_under_15,Young_Persons_15_to_20,Unmarried_Men_and_Widowers,Total_Persons,A,B,C,D,E,F,G,H,Total_Classes,District,poverty_rate,kids_per_household,unmarried_ratio
Refreshments,27,Licensed houses,223.0,223.0,384.0,96.0,90.0,1016.0,0.0,0.0,0.0,0.0,20.0,173.0,539.0,284.0,1016.0,Mile_End_Old_Town,0.0,1.7219730941704037,0.08858267716535433
Salaried &c.,28,Clerks and agents,1232.0,1232.0,2334.0,580.0,500.0,5878.0,0.0,29.0,175.0,292.0,1880.0,2272.0,940.0,290.0,5878.0,Mile_End_Old_Town,0.0843824430078258,1.8944805194805194,0.08506294658046955
Salaried &c.,29,Subordinate professional,334.0,334.0,636.0,158.0,135.0,1597.0,0.0,32.0,32.0,128.0,600.0,549.0,224.0,32.0,1597.0,Mile_End_Old_Town,0.12022542266750157,1.904191616766467,0.08453350031308704
Salaried &c.,30,Professional,121.0,121.0,256.0,64.0,49.0,611.0,0.0,0.0,0.0,0.0,0.0,50.0,60.0,501.0,611.0,Mile_End_Old_Town,0.0,2.115702479338843,0.08019639934533551
No work,31,Ill and no occupation,59.0,59.0,123.0,32.0,24.0,297.0,0.0,208.0,62.0,9.0,9.0,9.0,0.0,0.0,297.0,Mile_End_Old_Town,0.9393939393939394,2.0847457627118646,0.08080808080808081
No work,32,Independent,101.0,101.0,136.0,34.0,41.0,413.0,0.0,0.0,0.0,0.0,192.0,90.0,110.0,21.0,413.0,Mile_End_Old_Town,0.0,1.3465346534653466,0.09927360774818401
Females,33,Semi-domestic employment,651.0,0.0,986.0,244.0,0.0,1881.0,5.0,567.0,514.0,510.0,285.0,0.0,0.0,0.0,1881.0,Mile_End_Old_Town,0.8484848484848485,1.5145929339477726,0.0
Females,34,Dress,484.0,0.0,705.0,178.0,0.0,1367.0,0.0,371.0,306.0,387.0,303.0,0.0,0.0,0.0,1367.0,Mile_End_Old_Town,0.7783467446964155,1.4566115702479339,0.0
Females,35,Small trades,184.0,0.0,263.0,66.0,0.0,513.0,5.0,99.0,76.0,77.0,246.0,10.0,0.0,0.0,513.0,Mile_End_Old_Town,0.5009746588693957,1.4293478260869565,0.0
Females,36,Employing and professional,56.0,0.0,112.0,28.0,0.0,196.0,0.0,0.0,0.0,30.0,40.0,63.0,63.0,0.0,196.0,Mile_End_Old_Town,0.15306122448979592,2.0,0.0
Females,37,Supported,146.0,0.0,216.0,54.0,0.0,416.0,0.0,42.0,15.0,68.0,291.0,0.0,0.0,0.0,416.0,Mile_End_Old_Town,0.3004807692307692,1.4794520547945205,0.0
Females,38,Independent,105.0,0.0,150.0,38.0,0.0,293.0,0.0,0.0,0.0,10.0,110.0,35.0,138.0,0.0,293.0,Mile_End_Old_Town,0.034129692832764506,1.4285714285714286,0.0
Females,39,Other adult women,0.0,0.0,0.0,0.0,0.0,9892.0,78.0,675.0,601.0,1258.0,5125.0,1466.0,453.0,236.0,9892.0,Mile_End_Old_Town,0.26405175899716943,0.0,0.0
Labour,1,"Lowest class, loafers, &c.",374.0,374.0,158.0,192.0,162.0,1260.0,1260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1260.0,Hackney,1.0,0.42245989304812837,0.12857142857142856
Labour,2,Casual day-to-day labour,624.0,624.0,1332.0,312.0,271.0,3163.0,0.0,3146.0,17.0,0.0,0.0,0.0,0.0,0.0,3163.0,Hackney,1.0,2.1346153846153846,0.08567815365159659
