Section_Class,ID,Description,Heads_of_Families,Wives,Children_under_15,Young_Persons_15_to_20,Unmarried_Men_and_Widowers,Total_Persons,A,B,C,D,E,F,G,H,Total_Classes,District
Other wages,16,"Police, soldiers, sub-officials",611.0,599.0,1284.0,286.0,229.0,3009.0,0.0,81.0,0.0,147.0,2778.0,0.0,0.0,0.0,3009.0,Poplar
Other wages,17,Seamen,1291.0,1266.0,2193.0,488.0,486.0,5724.0,0.0,159.0,280.0,0.0,5285.0,0.0,0.0,0.0,5724.0,Poplar
Other wages,18,Other wage earners,479.0,470.0,678.0,152.0,180.0,1959.0,0.0,55.0,47.0,48.0,1809.0,0.0,0.0,0.0,1959.0,Poplar
Manufacture &c.,19,"Home industries, not employing",354.0,347.0,727.0,163.0,133.0,1724.0,0.0,153.0,480.0,0.0,1091.0,0.0,0.0,0.0,1724.0,Poplar
Manufacture &c.,20,Small employers,427.0,419.0,945.0,211.0,160.0,2162.0,0.0,0.0,0.0,0.0,454.0,975.0,597.0,136.0,2162.0,Poplar
Manufacture &c.,21,Large employers,83.0,82.0,172.0,39.0,31.0,407.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,137.0,407.0,Poplar
Dealers,22,"Street sellers, &c.",259.0,254.0,542.0,121.0,98.0,1274.0,27.0,180.0,243.0,210.0,578.0,36.0,0.0,0.0,1274.0,Poplar
Dealers,23,General dealers,183.0,180.0,349.0,78.0,69.0,859.0,0.0,26.0,175.0,95.0,346.0,209.0,8.0,0.0,859.0,Poplar
Dealers,24,Small shops,1059.0,1039.0,1721.0,383.0,399.0,4601.0,0.0,54.0,27.0,409.0,2145.0,1398.0,568.0,0.0,4601.0,Poplar
Dealers,25,Large shops employing assistants,469.0,460.0,1042.0,233.0,176.0,2380.0,0.0,0.0,0.0,0.0,52.0,720.0,670.0,938.0,2380.0,Poplar
Refreshments,26,Coffee and boarding houses,121.0,119.0,234.0,52.0,46.0,572.0,0.0,0.0,0.0,12.0,40.0,234.0,286.0,0.0,572.0,Poplar
Refreshments,27,Licensed houses,219.0,215.0,522.0,117.0,82.0,1155.0,0.0,0.0,0.0,0.0,44.0,191.0,595.0,325.0,1155.0,Poplar
Salaried &c.,28,Clerks and agents,1411.0,1383.0,2830.0,631.0,531.0,6786.0,0.0,75.0,163.0,611.0,2864.0,1832.0,1018.0,223.0,6786.0,Poplar
Salaried &c.,29,Subordinate professional,583.0,572.0,1176.0,262.0,220.0,2813.0,0.0,56.0,56.0,250.0,1048.0,955.0,392.0,56.0,2813.0,Poplar
Salaried &c.,30,Professional,230.0,226.0,486.0,109.0,87.0,1138.0,0.0,0.0,0.0,0.0,0.0,88.0,110.0,940.0,1138.0,Poplar
No work,31,Ill and no occupation,154.0,151.0,313.0,70.0,59.0,747.0,0.0,520.0,157.0,26.0,26.0,18.0,0.0,0.0,747.0,Poplar
No work,32,Independent,107.0,105.0,172.0,38.0,40.0,462.0,0.0,0.0,0.0,0.0,212.0,102.0,124.0,24.0,462.0,Poplar
Females,33,Semi-domestic employment,1030.0,0.0,1552.0,346.0,0.0,2928.0,10.0,1074.0,522.0,655.0,667.0,0.0,0.0,0.0,2928.0,Poplar
Females,34,Dress,350.0,0.0,522.0,117.0,0.0,989.0,0.0,306.0,197.0,242.0,244.0,0.0,0.0,0.0,989.0,Poplar
Females,35,Small trades,314.0,0.0,505.0,113.0,0.0,932.0,5.0,233.0,167.0,168.0,294.0,15.0,0.0,0.0,932.0,Poplar
Females,36,Employing and professional,55.0,0.0,94.0,21.0,0.0,170.0,0.0,0.0,0.0,24.0,37.0,61.0,48.0,0.0,170.0,Poplar
